epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5700.65,1.28509,1.15454,1.2831,0.93877,0.89899,0.94233,0.59164,1.33697,0.75979,1.30121,0.000666352,0.000666352,0.000666352
2,11358.5,1.29811,0.8355,1.29676,0.94737,0.87711,0.93101,0.58183,1.38928,0.80349,1.36259,0.00124504,0.00124504,0.00124504
3,16847.7,1.27009,0.78142,1.27895,0.95496,0.90525,0.95411,0.59771,1.32607,0.64719,1.28263,0.00173573,0.00173573,0.00173573
4,22466.1,1.238,0.73493,1.26143,0.96727,0.91479,0.95958,0.61429,1.30578,0.59357,1.26489,0.001604,0.001604,0.001604
5,27954.7,1.21202,0.69549,1.24144,0.96733,0.93051,0.96255,0.63137,1.26927,0.57884,1.2458,0.001472,0.001472,0.001472
6,33428.2,1.16106,0.58003,1.25248,0.97689,0.93202,0.97062,0.62542,1.29338,0.55166,1.26025,0.00134,0.00134,0.00134
7,38868.3,1.14017,0.55031,1.23636,0.9718,0.93736,0.9678,0.61971,1.28423,0.55528,1.25883,0.001208,0.001208,0.001208
8,44302.6,1.12236,0.53106,1.22452,0.97197,0.94348,0.97712,0.65869,1.21112,0.5039,1.21848,0.001076,0.001076,0.001076
9,49881.8,1.10222,0.50436,1.21012,0.97968,0.94978,0.97823,0.66632,1.17739,0.48393,1.19122,0.000944,0.000944,0.000944
10,55333,1.08616,0.48321,1.20546,0.97091,0.94559,0.9787,0.67448,1.15864,0.49055,1.17739,0.000812,0.000812,0.000812
11,60811.8,1.07012,0.47089,1.19053,0.98121,0.94465,0.98015,0.67716,1.15664,0.46799,1.17496,0.00068,0.00068,0.00068
12,66418.6,1.04941,0.45444,1.17219,0.975,0.95497,0.98003,0.68776,1.13618,0.44501,1.15995,0.000548,0.000548,0.000548
13,71925.5,1.03815,0.43769,1.16802,0.98034,0.95893,0.98291,0.69478,1.12732,0.43486,1.16151,0.000416,0.000416,0.000416
14,77480.6,1.01908,0.42032,1.15784,0.98244,0.95732,0.98349,0.6986,1.114,0.4285,1.14979,0.000284,0.000284,0.000284
15,83014.5,1.00048,0.40507,1.14598,0.98173,0.95766,0.98401,0.70151,1.11196,0.41705,1.15115,0.000152,0.000152,0.000152
